date,vnd_per_cad,open,high,low,change_pct,year,month
2024-07-30,18246.46,18253.03,18273.93,18235.26,0.02,2024,7
2024-07-31,18274.31,18258.29,18312.54,18218.24,0.15,2024,7
2024-08-01,18171.66,18286.02,18295.9,18159.89,-0.56,2024,8
2024-08-02,18167.08,18179.53,18240.2,18157.77,-0.03,2024,8
2024-08-05,18139.74,18179.36,18195.76,17982.36,-0.15,2024,8
2024-08-06,18228.64,18153.71,18275.66,18140.28,0.49,2024,8
2024-08-07,18282.58,18237.22,18341.17,18216.45,0.3,2024,8
2024-08-08,18299.96,18289.18,18326.17,18264.63,0.1,2024,8
2024-08-09,18271.19,18310.52,18330.18,18254.87,-0.16,2024,8
2024-08-12,18277.07,18284.78,18320.15,18253.15,0.03,2024,8
2024-08-13,18324.09,18284.35,18332.72,18253.59,0.26,2024,8
2024-08-14,18237.48,18333.39,18335.4,18239.11,-0.47,2024,8
2024-08-15,18233.79,18250.41,18300.15,18228.46,-0.02,2024,8
2024-08-16,18307.39,18241.08,18322.73,18232.3,0.4,2024,8
2024-08-19,18305.83,18299.32,18346.76,18246.75,-0.01,2024,8
2024-08-20,18287.58,18315.67,18326.18,18264.79,-0.1,2024,8
2024-08-21,18336.28,18298.95,18372.69,18284.21,0.27,2024,8
2024-08-22,18330.03,18344.98,18398.46,18327.32,-0.03,2024,8
2024-08-23,18480.27,18340.55,18505.28,18329.05,0.82,2024,8
2024-08-26,18431.2,18494.32,18504.6,18392.72,-0.27,2024,8
2024-08-27,18459.02,18441.15,18471.96,18398.22,0.15,2024,8
2024-08-28,18437.06,18465.78,18506.95,18433.54,-0.12,2024,8
2024-08-29,18442.71,18447.21,18501.45,18427.79,0.03,2024,8
2024-08-30,18421.64,18451.5,18475.28,18411.61,-0.11,2024,8
2024-09-02,18420.27,18441.63,18453.27,18417.06,-0.01,2024,9
2024-09-03,18344.16,18435.49,18438.9,18339.66,-0.41,2024,9
2024-09-04,18399.35,18353.2,18416.98,18325.35,0.3,2024,9
2024-09-05,18313.09,18406.76,18412.21,18290.03,-0.47,2024,9
2024-09-06,18117.54,18319.82,18334.2,18120.59,-1.07,2024,9
2024-09-09,18201.93,18138.61,18231.82,18126.59,0.47,2024,9
2024-09-10,18116.37,18215.01,18219.71,18117.73,-0.47,2024,9
2024-09-11,18082.05,18127.04,18137.04,18030.69,-0.19,2024,9
2024-09-12,18093.8,18096.44,18124.89,18068.8,0.06,2024,9
2024-09-13,18055.35,18103.67,18128.09,18046.46,-0.21,2024,9
2024-09-16,18052.69,18059.08,18142.15,18035.86,-0.01,2024,9
2024-09-17,18105.6,18069.72,18141.98,18053.11,0.29,2024,9
2024-09-18,18081.59,18119.3,18186.19,18075.39,-0.13,2024,9
2024-09-19,18115.78,18101.96,18182.82,18042.28,0.19,2024,9
2024-09-20,18119.52,18128.86,18174.43,18075.53,0.02,2024,9
2024-09-23,18176.78,18142.61,18255.97,18084.19,0.32,2024,9
2024-09-24,18307.03,18185.18,18321.61,18178.79,0.72,2024,9
2024-09-25,18223.61,18318.2,18335.95,18234.72,-0.46,2024,9
2024-09-26,18280.73,18238.11,18299.03,18227.86,0.31,2024,9
2024-09-27,18189.22,18288.15,18289.52,18191.9,-0.5,2024,9
2024-09-30,18153.93,18210.07,18226.93,18144.55,-0.19,2024,9
2024-10-01,18230.67,18162.66,18256.0,18145.21,0.42,2024,10
2024-10-02,18256.68,18242.47,18309.03,18230.98,0.14,2024,10
2024-10-03,18253.91,18267.66,18327.54,18226.88,-0.02,2024,10
2024-10-04,18231.7,18264.66,18283.14,18223.29,-0.12,2024,10
2024-10-07,18237.89,18256.19,18312.4,18220.8,0.03,2024,10
2024-10-08,18195.47,18249.57,18262.3,18166.2,-0.23,2024,10
2024-10-09,18109.55,18204.8,18212.8,18101.31,-0.47,2024,10
2024-10-10,18068.69,18111.88,18144.68,18034.34,-0.23,2024,10
2024-10-11,18022.96,18082.24,18084.45,18005.73,-0.25,2024,10
2024-10-14,18005.22,18038.45,18047.09,17996.38,-0.1,2024,10
2024-10-15,18093.06,18012.46,18113.15,17990.51,0.49,2024,10
2024-10-16,18154.72,18104.61,18175.87,18066.7,0.34,2024,10
